step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
975.0,607,0,313,1053,1660,0,15801.0,26.031301482701814,4.565292522572877,313,30801.0,0.24571020998619264,313,30801.0
980.0,605,1,322,1068,1673,0,15728.0,25.996694214876033,4.344549290328034,322,31849.0,0.23783456828424127,322,31849.0
985.0,602,0,330,1082,1684,0,16138.0,26.80730897009967,4.247895800397793,330,32472.0,0.22911597233458256,330,32472.0
990.0,606,2,331,1096,1702,0,16916.0,27.914191419141915,4.380120281430396,331,33252.0,0.23336832134326502,331,33252.0
995.0,617,1,325,1100,1717,0,18001.0,29.175040518638575,4.780630305071298,325,34036.0,0.2515520879373489,325,34036.0
1000.0,626,0,323,1104,1730,0,19392.0,30.977635782747605,5.050113606853207,323,34782.0,0.25923068261356647,323,34782.0
1005.0,640,1,330,1107,1747,0,21016.0,32.8375,5.382840594541858,330,35812.0,0.2742956025493295,330,35812.0
1010.0,647,0,338,1113,1760,0,22690.0,35.06955177743431,5.585106262506878,338,36970.0,0.283646157019373,338,36970.0
1015.0,657,1,345,1118,1775,0,24401.0,37.140030441400306,5.768904860899161,345,38194.0,0.2877812999860179,345,38194.0
1020.0,668,2,357,1123,1791,0,26160.0,39.16167664670659,5.758237193625193,357,39602.0,0.27522782781732663,357,39602.0
1025.0,680,0,369,1125,1805,0,27441.0,40.35441176470588,5.481504976863199,369,41398.0,0.24849683592258073,369,41398.0
1030.0,682,0,365,1130,1812,0,26710.0,39.16422287390029,5.140742140235255,365,41000.0,0.22171234966386968,365,41000.0
1035.0,683,0,367,1135,1818,0,26390.0,38.63836017569546,5.015654228653431,367,41756.0,0.20997855554847883,367,41756.0
1040.0,683,1,346,1145,1828,0,25466.0,37.28550512445095,5.079135377250411,346,40407.0,0.21227457897918028,346,40407.0
1045.0,682,0,321,1161,1843,0,24227.0,35.523460410557185,5.253182613184407,321,40060.0,0.2263556444667608,321,40060.0
1050.0,679,0,309,1173,1852,0,23719.0,34.93225331369661,5.278565353903468,309,39873.0,0.22168732998247448,309,39873.0
1055.0,681,0,297,1187,1868,0,22988.0,33.756240822320116,5.379725500964783,297,39348.0,0.2294838456115629,297,39348.0
1060.0,685,0,289,1201,1886,0,22810.0,33.2992700729927,5.573564369696912,289,38869.0,0.24772654699480187,289,38869.0
1065.0,683,2,280,1217,1900,0,22502.0,32.94582723279649,5.701370742735283,280,38338.0,0.2629695472140358,280,38338.0
1070.0,681,1,271,1230,1911,0,22971.0,33.731277533039645,5.6803150707796535,271,37913.0,0.2605827000340147,271,37913.0
1075.0,674,0,269,1242,1916,0,23790.0,35.29673590504451,5.6497491788760295,269,37630.0,0.2487615310082419,269,37630.0
1080.0,670,1,257,1256,1926,0,24626.0,36.755223880597015,5.675381219470588,257,37474.0,0.24999539745658036,257,37474.0
1085.0,674,1,254,1265,1939,0,25602.0,37.98516320474778,5.7766346879485875,254,37973.0,0.25608121782667664,254,37973.0
1090.0,680,0,259,1274,1954,0,26733.0,39.313235294117646,5.96282546527485,259,38404.0,0.2731328274657706,259,38404.0
1095.0,678,1,265,1285,1963,0,27743.0,40.918879056047196,5.935100339846465,265,39519.0,0.28003867670047566,265,39519.0
1100.0,673,1,275,1298,1971,0,27937.0,41.5111441307578,5.599417283162095,275,39608.0,0.2634980565723685,275,39608.0
1105.0,670,1,289,1313,1983,0,28245.0,42.156716417910445,5.4274097181578425,289,40378.0,0.26191794321217304,289,40378.0
1110.0,673,2,302,1323,1996,0,28617.0,42.52154531946508,5.2159565256120795,302,40478.0,0.25041874287620225,302,40478.0
1115.0,671,3,323,1339,2010,0,29130.0,43.41281669150521,4.954397890277208,323,41094.0,0.24092535237663376,323,41094.0
1120.0,669,0,340,1352,2021,0,30003.0,44.847533632286996,4.635813831696289,340,41856.0,0.22039711458156003,340,41856.0
1125.0,664,0,351,1366,2030,0,31456.0,47.373493975903614,4.424574331080681,351,42816.0,0.21173386095588007,351,42816.0
1130.0,659,3,373,1388,2047,0,33245.0,50.44764795144158,4.332812311948214,373,44112.0,0.2225302690544333,373,44112.0
