step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
560.0,365,0,141,270,635,0,3266.0,8.947945205479453,5.1435170687303415,141,8624.0,0.29837038152051626,141,8624.0
565.0,373,2,154,272,645,0,3855.0,10.335120643431635,5.236481448077123,154,9312.0,0.3002567679933815,154,9312.0
570.0,387,0,165,275,662,0,4514.0,11.664082687338501,5.206732752524265,165,10115.0,0.29793569962762956,165,10115.0
575.0,392,0,162,283,675,0,5038.0,12.85204081632653,5.12523485490674,162,9886.0,0.3050663790360873,162,9886.0
580.0,397,0,164,289,686,0,5628.0,14.17632241813602,5.1368713842073035,164,10670.0,0.3066083065961185,164,10670.0
585.0,403,0,169,290,693,0,6289.0,15.605459057071961,5.119607485912496,169,11479.0,0.29548697038224603,169,11479.0
590.0,411,0,180,292,703,0,7044.0,17.138686131386862,4.924275486145847,180,12275.0,0.27753306084730434,180,12275.0
595.0,416,0,179,296,712,0,7639.0,18.36298076923077,4.858390295755774,179,12317.0,0.2789619237843067,179,12317.0
600.0,422,1,183,298,720,0,8356.0,19.80094786729858,4.719182699539521,183,13214.0,0.26329288990681393,183,13214.0
605.0,428,1,199,302,730,0,9169.0,21.422897196261683,4.48971509200803,199,14181.0,0.24501692787822488,199,14181.0
610.0,433,0,213,306,739,0,10050.0,23.21016166281755,4.308261575746164,213,15109.0,0.23466210910285457,213,15109.0
615.0,442,1,204,314,756,0,10789.0,24.40950226244344,4.246140036088195,204,15225.0,0.24408762619160582,204,15225.0
620.0,446,1,212,319,765,0,11609.0,26.02914798206278,4.128875812185734,212,16256.0,0.2362751531494183,212,16256.0
625.0,453,0,230,322,775,0,12536.0,27.67328918322296,3.9622838913347986,230,17347.0,0.2227380201158745,230,17347.0
630.0,460,0,242,324,784,0,13523.0,29.39782608695652,3.9408743706674105,242,18543.0,0.21824909032107453,242,18543.0
635.0,468,2,231,328,796,0,14388.0,30.743589743589745,3.883671843810444,231,18835.0,0.22151777846821985,231,18835.0
640.0,479,2,235,331,810,0,15267.0,31.872651356993735,3.871241281104067,235,19993.0,0.22130935102481927,235,19993.0
645.0,484,0,250,337,821,0,16306.0,33.6900826446281,3.818258391318885,250,21199.0,0.21906692113819465,250,21199.0
650.0,486,0,262,341,827,0,17409.0,35.82098765432099,3.590280953145732,262,22408.0,0.2036204665328639,262,22408.0
655.0,491,1,250,343,834,0,18367.0,37.40733197556008,3.53184111003016,250,22925.0,0.20123485875527533,250,22925.0
660.0,496,0,255,348,844,0,19399.0,39.11088709677419,3.4736106304160055,255,24183.0,0.20016401255578983,255,24183.0
665.0,501,0,271,351,852,0,20560.0,41.03792415169661,3.359658096927525,271,25516.0,0.1881171125190733,271,25516.0
670.0,513,2,291,351,864,0,21802.0,42.499025341130604,3.382297154239922,291,26866.0,0.1876701793463936,291,26866.0
675.0,517,1,277,355,872,0,22836.0,44.170212765957444,3.2288797330455155,277,27458.0,0.17979358444876542,277,27458.0
680.0,522,0,284,361,883,0,23992.0,45.96168582375479,3.252414969805281,284,28851.0,0.1840019803280252,284,28851.0
685.0,528,2,297,364,892,0,25184.0,47.696969696969695,3.064895895968971,297,30273.0,0.16581098593270932,297,30273.0
690.0,540,2,310,366,906,0,25528.0,47.27407407407407,3.111909480937198,310,31801.0,0.17032914066391766,310,31801.0
695.0,546,0,303,372,918,0,22148.0,40.56410256410256,3.0229407157590384,303,30881.0,0.17046351078135746,303,30881.0
700.0,552,0,292,376,928,0,19159.0,34.708333333333336,3.1667379602363943,292,31203.0,0.17933942290901578,292,31203.0
705.0,564,1,295,378,942,0,16499.0,29.25354609929078,3.4536526361106046,295,30413.0,0.18837255114355134,295,30413.0
710.0,575,0,294,378,953,0,14411.0,25.062608695652173,3.9635096375046945,294,28853.0,0.20343497502271787,294,28853.0
715.0,585,0,297,381,966,0,12500.0,21.367521367521366,4.391941690479609,297,28271.0,0.2216584449814351,297,28271.0
720.0,588,0,295,388,976,0,11066.0,18.81972789115646,4.741334570177034,295,27093.0,0.23555677731505187,295,27093.0
725.0,601,2,299,390,991,0,10456.0,17.397670549084857,4.928055118735848,299,28252.0,0.24957570714334412,299,28252.0
730.0,608,1,302,391,999,0,10235.0,16.83388157894737,4.802147081009883,302,29593.0,0.23984605514144147,302,29593.0
735.0,617,0,297,394,1011,0,10337.0,16.753646677471636,4.649535492988198,297,30974.0,0.230538500251678,297,30974.0
740.0,623,1,284,399,1022,0,9749.0,15.648475120385232,4.5500208277419665,284,31042.0,0.22890980252946203,284,31042.0
745.0,632,1,282,403,1035,0,9631.0,15.238924050632912,4.567491258607085,282,32459.0,0.22970058837357313,282,32459.0
750.0,641,0,293,406,1047,0,9698.0,15.129485179407176,4.491795959748545,293,33880.0,0.22269456672544385,293,33880.0
755.0,645,1,313,414,1059,0,10070.0,15.612403100775193,4.277408156827683,313,35387.0,0.2125249386670715,313,35387.0
760.0,647,1,313,423,1070,0,10150.0,15.687789799072643,4.004685886326504,313,35552.0,0.1998623071375936,313,35552.0
765.0,649,0,312,436,1085,0,9683.0,14.919876733436055,3.6749036043715435,312,37109.0,0.1854713587112773,312,37109.0
770.0,652,1,319,448,1100,0,7794.0,11.95398773006135,3.460757183889783,319,37586.0,0.17719840736801148,319,37586.0
775.0,653,2,330,463,1116,0,7330.0,11.225114854517612,3.182468048982846,330,39214.0,0.17057774610961055,330,39214.0
780.0,658,0,313,470,1128,0,7619.0,11.5790273556231,3.174162365009312,313,39343.0,0.17546180382411192,313,39343.0
785.0,668,1,310,474,1142,0,8216.0,12.29940119760479,3.2509187560411883,310,40899.0,0.1796922187618986,310,40899.0
790.0,678,1,314,479,1157,0,9407.0,13.874631268436579,3.153333626843069,314,41495.0,0.17213526918718178,314,41495.0
795.0,689,0,327,481,1170,0,10802.0,15.677793904208999,3.1309570870859593,327,43130.0,0.16999903081749115,327,43130.0
800.0,701,0,322,486,1187,0,12061.0,17.205420827389442,3.1355327482754958,322,43243.0,0.17241549518741514,322,43243.0
